,Bahis Tipi,Tercih,Olasılıklar
0,Maç Sonucu,MS1,39
1,Maç Sonucu,MS0,34
2,Maç Sonucu,MS2,27
3,Toplam Gol Alt / Üst,0.5 ALT,16
4,Toplam Gol Alt / Üst,0.5 ÜST,84
5,Toplam Gol Alt / Üst,1.5 ALT,36
6,Toplam Gol Alt / Üst,1.5 ÜST,64
7,Toplam Gol Alt / Üst,2.5 ALT,58
8,Toplam Gol Alt / Üst,2.5 ÜST,42
9,Toplam Gol Alt / Üst,3.5 ALT,79
10,Toplam Gol Alt / Üst,3.5 ÜST,21
11,Toplam Gol Alt / Üst,4.5 ALT,92
12,Toplam Gol Alt / Üst,4.5 ÜST,8
13,Toplam Gol Alt / Üst,5.5 ALT,96
14,Toplam Gol Alt / Üst,5.5 ÜST,4
15,İlk Yarı / Maç Sonucu,1 / 1,21
16,İlk Yarı / Maç Sonucu,1 / 0,4
17,İlk Yarı / Maç Sonucu,1 / 2,3
18,İlk Yarı / Maç Sonucu,0 / 1,13
19,İlk Yarı / Maç Sonucu,0 / 0,25
20,İlk Yarı / Maç Sonucu,0 / 2,8
21,İlk Yarı / Maç Sonucu,2 / 1,5
22,İlk Yarı / Maç Sonucu,2 / 0,5
23,İlk Yarı / Maç Sonucu,2 / 2,16
24,Karşılıklı Gol,VAR,52
25,Karşılıklı Gol,YOK,48
26,İlk Yarı Alt / Üst,0.5 ALT,38
27,İlk Yarı Alt / Üst,0.5 ÜST,62
28,İlk Yarı Alt / Üst,1.5 ALT,73
29,İlk Yarı Alt / Üst,1.5 ÜST,27
30,İlk Yarı Alt / Üst,2.5 ALT,90
31,İlk Yarı Alt / Üst,2.5 ÜST,10
32,İlk Yarı Sonucu,1,28
33,İlk Yarı Sonucu,0,46
34,İlk Yarı Sonucu,2,26
35,Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Alt,14
36,Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Alt,16
37,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Alt,6
38,Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Üst,25
39,Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Üst,18
40,Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Üst,21
41,Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Alt,16
42,Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Alt,32
43,Maç Sonucu ve Alt / Üst 2.5,2 ve 2.5 Alt,10
44,Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Üst,23
45,Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Üst,2
46,Maç Sonucu ve Alt / Üst 2.5,2 ve 1.5 Üst,17
47,Maç Sonucu ve Alt / Üst 3.5,1 ve 3.5 Alt,29
48,Maç Sonucu ve Alt / Üst 3.5,0 ve 3.5 Alt,32
